"concept_name","vocabulary_id","concept_class_id","concept_code","valid_start_date","valid_end_date","invalid_reason"
"Eluvixtamab","HemOnc","Component","1","2019-05-27","2099-12-31",""
"Capivasertib","HemOnc","Component","2","2019-05-27","2099-12-31",""
"Abciximab","HemOnc","Component","3","2019-05-27","2099-12-31",""
"Abemaciclib","HemOnc","Component","4","2019-05-27","2099-12-31",""
"Abexinostat","HemOnc","Component","5","2019-05-27","2099-12-31",""
"Abiraterone","HemOnc","Component","6","2019-05-27","2099-12-31",""
"Acalabrutinib","HemOnc","Component","7","2019-05-27","2099-12-31",""
"Acetaminophen","HemOnc","Component","8","2019-05-27","2099-12-31",""
"Aclarubicin","HemOnc","Component","9","2019-05-27","2099-12-31",""
"Actinium Ac 225 lintuzumab","HemOnc","Component","10","2019-05-27","2099-12-31",""
"Acyclovir","HemOnc","Component","11","2019-05-27","2099-12-31",""
"Trastuzumab emtansine","HemOnc","Component","12","2019-05-27","2099-12-31",""
"Afatinib","HemOnc","Component","13","2019-05-27","2099-12-31",""
"Afuresertib","HemOnc","Component","14","2019-05-27","2099-12-31",""
"Aldesleukin","HemOnc","Component","15","2019-05-27","2099-12-31",""
"Alectinib","HemOnc","Component","16","2019-05-27","2099-12-31",""
"Alemtuzumab","HemOnc","Component","17","2019-05-27","2099-12-31",""
"Alendronate","HemOnc","Component","18","2019-05-27","2099-12-31",""
"Alisertib","HemOnc","Component","19","2019-05-27","2099-12-31",""
"All-trans retinoic acid","HemOnc","Component","20","2019-05-27","2099-12-31",""
"Allopurinol","HemOnc","Component","21","2019-05-27","2099-12-31",""
"Alprazolam","HemOnc","Component","22","2019-05-27","2099-12-31",""
"Altretamine","HemOnc","Component","23","2019-05-27","2099-12-31",""
"Alvocidib","HemOnc","Component","24","2019-05-27","2099-12-31",""
"Amatuximab","HemOnc","Component","25","2019-05-27","2099-12-31",""
"Amifostine","HemOnc","Component","26","2019-05-27","2099-12-31",""
"Aminocaproic acid","HemOnc","Component","27","2019-05-27","2099-12-31",""
"Aminoglutethimide","HemOnc","Component","28","2019-05-27","2099-12-31",""
"Aminopterin","HemOnc","Component","29","2019-05-27","2099-12-31",""
"Amrubicin","HemOnc","Component","30","2019-05-27","2099-12-31",""
"Amsacrine","HemOnc","Component","31","2019-05-27","2099-12-31",""
"Anagrelide","HemOnc","Component","32","2019-05-27","2099-12-31",""
"Anastrozole","HemOnc","Component","33","2019-05-27","2099-12-31",""
"Anti-inhibitor coagulant complex","HemOnc","Component","34","2019-05-27","2099-12-31",""
"Antithrombin III","HemOnc","Component","35","2019-05-27","2025-03-13","D"
"Antithymocyte globulin horse ATG","HemOnc","Component","36","2019-05-27","2099-12-31",""
"Antithymocyte globulin rabbit ATG","HemOnc","Component","37","2019-05-27","2099-12-31",""
"Apalutamide","HemOnc","Component","39","2019-05-27","2099-12-31",""
"Apatinib","HemOnc","Component","40","2019-05-27","2099-12-31",""
"Apixaban","HemOnc","Component","41","2019-05-27","2099-12-31",""
"Aprepitant","HemOnc","Component","42","2019-05-27","2099-12-31",""
"Argatroban","HemOnc","Component","43","2019-05-27","2099-12-31",""
"Arsenic trioxide","HemOnc","Component","44","2019-05-27","2099-12-31",""
"Asparaginase","HemOnc","Component","45","2019-05-27","2099-12-31",""
"Asparaginase Erwinia chrysanthemi","HemOnc","Component","46","2019-05-27","2099-12-31",""
"Aspirin","HemOnc","Component","47","2019-05-27","2099-12-31",""
"Aspirin and dipyridamole","HemOnc","Component","48","2019-05-27","2099-12-31",""
"Atezolizumab","HemOnc","Component","49","2019-05-27","2099-12-31",""
"Atovaquone","HemOnc","Component","50","2019-05-27","2099-12-31",""
"Atropine","HemOnc","Component","51","2019-05-27","2099-12-31",""
"Avatrombopag","HemOnc","Component","52","2019-05-27","2099-12-31",""
"Avelumab","HemOnc","Component","53","2019-05-27","2099-12-31",""
"Axicabtagene ciloleucel","HemOnc","Component","54","2019-05-27","2099-12-31",""
"Axitinib","HemOnc","Component","55","2019-05-27","2099-12-31",""
"Azacitidine","HemOnc","Component","56","2019-05-27","2099-12-31",""
"BHQ-880","HemOnc","Component","57","2019-05-27","2099-12-31",""
"BL22 immunotoxin","HemOnc","Component","58","2019-05-27","2099-12-31",""
"BCG vaccine","HemOnc","Component","59","2019-05-27","2099-12-31",""
"Barasertib","HemOnc","Component","60","2019-05-27","2099-12-31",""
"Bavituximab","HemOnc","Component","61","2019-05-27","2099-12-31",""
"Belagenpumatucel-L","HemOnc","Component","62","2019-05-27","2099-12-31",""
"Belinostat","HemOnc","Component","63","2019-05-27","2099-12-31",""
"Belotecan","HemOnc","Component","64","2019-05-27","2099-12-31",""
"Bendamustine","HemOnc","Component","65","2019-05-27","2099-12-31",""
"Betrixaban","HemOnc","Component","66","2019-05-27","2099-12-31",""
"Bevacizumab-awwb","HemOnc","Component","67","2019-05-27","2099-12-31",""
"Bevacizumab","HemOnc","Component","68","2019-05-27","2099-12-31",""
"Bexarotene","HemOnc","Component","69","2019-05-27","2099-12-31",""
"Bicalutamide","HemOnc","Component","70","2019-05-27","2099-12-31",""
"Binimetinib","HemOnc","Component","71","2019-05-27","2099-12-31",""
"Bivalirudin","HemOnc","Component","72","2019-05-27","2099-12-31",""
"Bleomycin","HemOnc","Component","73","2019-05-27","2099-12-31",""
"Blinatumomab","HemOnc","Component","74","2019-05-27","2099-12-31",""
"Bortezomib","HemOnc","Component","75","2019-05-27","2099-12-31",""
"Bosutinib","HemOnc","Component","76","2019-05-27","2099-12-31",""
"Brentuximab vedotin","HemOnc","Component","77","2019-05-27","2099-12-31",""
"Brigatinib","HemOnc","Component","78","2019-05-27","2099-12-31",""
"Buparlisib","HemOnc","Component","79","2019-05-27","2099-12-31",""
"Busulfan","HemOnc","Component","80","2019-05-27","2099-12-31",""
"Cabazitaxel","HemOnc","Component","81","2019-05-27","2099-12-31",""
"Cabozantinib","HemOnc","Component","82","2019-05-27","2099-12-31",""
"Calaspargase","HemOnc","Component","83","2019-05-27","2099-12-31",""
"Calcium phosphate rinse","HemOnc","Component","84","2019-05-27","2099-12-31",""
"Cangrelor","HemOnc","Component","85","2019-05-27","2099-12-31",""
"Capecitabine","HemOnc","Component","86","2019-05-27","2099-12-31",""
"Caplacizumab","HemOnc","Component","87","2019-05-27","2099-12-31",""
"Carboplatin","HemOnc","Component","88","2019-05-27","2099-12-31",""
"Carfilzomib","HemOnc","Component","89","2019-05-27","2099-12-31",""
"Carmustine","HemOnc","Component","90","2019-05-27","2099-12-31",""
"Carmustine wafer polifeprosan 20","HemOnc","Component","91","2019-05-27","2099-12-31",""
"Caspofungin","HemOnc","Component","92","2019-05-27","2099-12-31",""
"Catumaxomab","HemOnc","Component","93","2019-05-27","2099-12-31",""
"Cediranib","HemOnc","Component","94","2019-05-27","2099-12-31",""
"Cemiplimab","HemOnc","Component","95","2019-05-27","2099-12-31",""
"Ceritinib","HemOnc","Component","96","2019-05-27","2099-12-31",""
"Cetirizine","HemOnc","Component","97","2019-05-27","2099-12-31",""
"Cetuximab","HemOnc","Component","98","2019-05-27","2099-12-31",""
"Chidamide","HemOnc","Component","99","2019-05-27","2099-12-31",""
"Chlorambucil","HemOnc","Component","100","2019-05-27","2099-12-31",""
"Chlorpheniramine","HemOnc","Component","101","2019-05-27","2099-12-31",""
"Cilostazol","HemOnc","Component","102","2019-05-27","2099-12-31",""
"Cimetidine","HemOnc","Component","103","2019-05-27","2099-12-31",""
"Ciprofloxacin","HemOnc","Component","104","2019-05-27","2099-12-31",""
"Cisplatin","HemOnc","Component","105","2019-05-27","2099-12-31",""
"Cixutumumab","HemOnc","Component","106","2019-05-27","2099-12-31",""
"Cladribine","HemOnc","Component","107","2019-05-27","2099-12-31",""
"Clarithromycin","HemOnc","Component","108","2019-05-27","2099-12-31",""
"Clemastine","HemOnc","Component","109","2019-05-27","2099-12-31",""
"Clodronate","HemOnc","Component","110","2019-05-27","2099-12-31",""
"Clofarabine","HemOnc","Component","111","2019-05-27","2099-12-31",""
"Clopidogrel","HemOnc","Component","112","2019-05-27","2099-12-31",""
"Cobimetinib","HemOnc","Component","113","2019-05-27","2099-12-31",""
"Coltuximab ravtansine","HemOnc","Component","114","2019-05-27","2099-12-31",""
"Copanlisib","HemOnc","Component","115","2019-05-27","2099-12-31",""
"Cortisone","HemOnc","Component","116","2019-05-27","2099-12-31",""
"Crenolanib","HemOnc","Component","117","2019-05-27","2099-12-31",""
"Crizanlizumab","HemOnc","Component","118","2019-05-27","2099-12-31",""
"Crizotinib","HemOnc","Component","119","2019-05-27","2099-12-31",""
