"concept_code_1","concept_code_2","vocabulary_id_1","vocabulary_id_2","relationship_id"
"1","44957","HemOnc","HemOnc","Has route"
"1","44948","HemOnc","HemOnc","Is a"
"1","119902","HemOnc","HemOnc","Is a"
"1","44952","HemOnc","HemOnc","Is a"
"1","OMOP5170982","HemOnc","RxNorm Extension","Maps to"
"2","44954","HemOnc","HemOnc","Has route"
"2","44956","HemOnc","HemOnc","Is a"
"2","44952","HemOnc","HemOnc","Is a"
"2","OMOP5180441","HemOnc","RxNorm Extension","Maps to"
"2","136353","HemOnc","HemOnc","Has brand name"
"2","572","HemOnc","HemOnc","Has FDA indication"
"2","4667","HemOnc","HemOnc","Was FDA approved yr"
"2","59452","HemOnc","HemOnc","Has major class"
"2","L01EX27","HemOnc","ATC","Maps to"
"3","781","HemOnc","HemOnc","Has brand name"
"3","782","HemOnc","HemOnc","Has brand name"
"3","44957","HemOnc","HemOnc","Has route"
"3","44958","HemOnc","HemOnc","Is a"
"3","44959","HemOnc","HemOnc","Is a"
"3","754","HemOnc","HemOnc","Was FDA approved yr"
"3","J0130","HemOnc","HCPCS","Maps to"
"3","83929","HemOnc","RxNorm","Maps to"
"3","B01AC13","HemOnc","ATC","Maps to"
"4","783","HemOnc","HemOnc","Has brand name"
"4","59517","HemOnc","HemOnc","Has brand name"
"4","572","HemOnc","HemOnc","Has FDA indication"
"4","44954","HemOnc","HemOnc","Has route"
"4","32998","HemOnc","HemOnc","Is a"
"4","32999","HemOnc","HemOnc","Is a"
"4","777","HemOnc","HemOnc","Was FDA approved yr"
"4","44963","HemOnc","HemOnc","Has major class"
"4","32998","HemOnc","HemOnc","Has minor class"
"4","32999","HemOnc","HemOnc","Has minor class"
"4","0002-4483","HemOnc","NDC","Maps to"
"4","0002-4815","HemOnc","NDC","Maps to"
"4","0002-5337","HemOnc","NDC","Maps to"
"4","0002-6216","HemOnc","NDC","Maps to"
"4","1946825","HemOnc","RxNorm","Maps to"
"4","L01EF03","HemOnc","ATC","Maps to"
"5","44954","HemOnc","HemOnc","Has route"
"5","44966","HemOnc","HemOnc","Is a"
"5","44952","HemOnc","HemOnc","Is a"
"5","OMOP5176000","HemOnc","RxNorm Extension","Maps to"
"5","46122","HemOnc","HemOnc","Has major class"
"5","44966","HemOnc","HemOnc","Has minor class"
"6","16582","HemOnc","HemOnc","Has brand name"
"6","16909","HemOnc","HemOnc","Has brand name"
"6","17241","HemOnc","HemOnc","Has brand name"
"6","17265","HemOnc","HemOnc","Has brand name"
"6","17292","HemOnc","HemOnc","Has brand name"
"6","17905","HemOnc","HemOnc","Has brand name"
"6","18104","HemOnc","HemOnc","Has brand name"
"6","18127","HemOnc","HemOnc","Has brand name"
"6","18132","HemOnc","HemOnc","Has brand name"
"6","22983","HemOnc","HemOnc","Has brand name"
"6","23258","HemOnc","HemOnc","Has brand name"
"6","25951","HemOnc","HemOnc","Has brand name"
"6","36295","HemOnc","HemOnc","Has brand name"
"6","40438","HemOnc","HemOnc","Has brand name"
"6","48639","HemOnc","HemOnc","Has brand name"
"6","4758","HemOnc","HemOnc","Has brand name"
"6","48701","HemOnc","HemOnc","Has brand name"
"6","48706","HemOnc","HemOnc","Has brand name"
"6","48708","HemOnc","HemOnc","Has brand name"
"6","49033","HemOnc","HemOnc","Has brand name"
"6","784","HemOnc","HemOnc","Has brand name"
"6","49048","HemOnc","HemOnc","Has brand name"
"6","658","HemOnc","HemOnc","Has FDA indication"
"6","44954","HemOnc","HemOnc","Has route"
"6","120077","HemOnc","HemOnc","Is a"
"6","45050","HemOnc","HemOnc","Is a"
"6","771","HemOnc","HemOnc","Was FDA approved yr"
"6","46196","HemOnc","HemOnc","Has major class"
"6","0093-1125","HemOnc","NDC","Maps to"
"6","0143-9597","HemOnc","NDC","Maps to"
"6","0378-6920","HemOnc","NDC","Maps to"
"6","0378-6921","HemOnc","NDC","Maps to"
"6","0378-6924","HemOnc","NDC","Maps to"
"6","0904-6948","HemOnc","NDC","Maps to"
"6","16714-963","HemOnc","NDC","Maps to"
"6","42291-024","HemOnc","NDC","Maps to"
"6","42291-073","HemOnc","NDC","Maps to"
"6","42292-057","HemOnc","NDC","Maps to"
"6","43598-358","HemOnc","NDC","Maps to"
"6","47335-401","HemOnc","NDC","Maps to"
"6","51407-181","HemOnc","NDC","Maps to"
"6","57894-150","HemOnc","NDC","Maps to"
"6","57894-155","HemOnc","NDC","Maps to"
"6","57894-195","HemOnc","NDC","Maps to"
"6","60505-4327","HemOnc","NDC","Maps to"
"6","60505-4764","HemOnc","NDC","Maps to"
"6","60687-455","HemOnc","NDC","Maps to"
"6","64679-021","HemOnc","NDC","Maps to"
"6","64980-418","HemOnc","NDC","Maps to"
"6","68001-489","HemOnc","NDC","Maps to"
"6","68462-135","HemOnc","NDC","Maps to"
"6","69238-1165","HemOnc","NDC","Maps to"
"6","69238-1754","HemOnc","NDC","Maps to"
"6","69539-049","HemOnc","NDC","Maps to"
"6","72205-030","HemOnc","NDC","Maps to"
"6","72606-566","HemOnc","NDC","Maps to"
"6","72606-573","HemOnc","NDC","Maps to"
"6","72789-213","HemOnc","NDC","Maps to"
"6","82293-001","HemOnc","NDC","Maps to"
"6","82293-002","HemOnc","NDC","Maps to"
"6","1100072","HemOnc","RxNorm","Maps to"
"6","144954","HemOnc","HemOnc","Has brand name"
"6","144955","HemOnc","HemOnc","Has brand name"
"6","144956","HemOnc","HemOnc","Has brand name"
