"synonym_name","synonym_concept_code","synonym_vocabulary_id"
"AMG 330","1","HemOnc"
"AMG-330","1","HemOnc"
"AMG330","1","HemOnc"
"Eluvixtamab","1","HemOnc"
"AZD5363","2","HemOnc"
"Capivasertib","2","HemOnc"
"AZD-5363","2","HemOnc"
"AZD 5363","2","HemOnc"
"Abciximab","3","HemOnc"
"LY2835219","4","HemOnc"
"Abemaciclib","4","HemOnc"
"LY-2835219","4","HemOnc"
"LY 2835219","4","HemOnc"
"PCI-24781","5","HemOnc"
"Abexinostat","5","HemOnc"
"PCI 24781","5","HemOnc"
"PCI24781","5","HemOnc"
"CB7630","6","HemOnc"
"abiraterone acetate","6","HemOnc"
"Abiraterone","6","HemOnc"
"CB-7630","6","HemOnc"
"CB 7630","6","HemOnc"
"ACP-196","7","HemOnc"
"Acalabrutinib","7","HemOnc"
"ACP 196","7","HemOnc"
"ACP196","7","HemOnc"
"paracetamole","8","HemOnc"
"APAP","8","HemOnc"
"paracetamol","8","HemOnc"
"Acetaminophen","8","HemOnc"
"aclacinomycin A","9","HemOnc"
"MA144-A1","9","HemOnc"
"aclacinomycin-A","9","HemOnc"
"aclarubicin hydrochloride","9","HemOnc"
"aclacinomycin","9","HemOnc"
"aclacinomycin A hydrochloride","9","HemOnc"
"Aclarubicin","9","HemOnc"
"Actinium Ac 225 lintuzumab","10","HemOnc"
"ACV","11","HemOnc"
"aciclovir","11","HemOnc"
"acycloguanosine","11","HemOnc"
"Acyclovir","11","HemOnc"
"PRO132365","12","HemOnc"
"ado-trastuzumab emtansine","12","HemOnc"
"T-DM1","12","HemOnc"
"TDM1","12","HemOnc"
"Trastuzumab emtansine","12","HemOnc"
"PRO-132365","12","HemOnc"
"PRO 132365","12","HemOnc"
"BIBW 2992","13","HemOnc"
"BIBW-2992","13","HemOnc"
"afatinib dimaleate","13","HemOnc"
"Afatinib","13","HemOnc"
"BIBW2992","13","HemOnc"
"GSK2110183","14","HemOnc"
"Afuresertib","14","HemOnc"
"GSK-2110183","14","HemOnc"
"GSK 2110183","14","HemOnc"
"LAE-002","14","HemOnc"
"LAE 002","14","HemOnc"
"LAE002","14","HemOnc"
"IL-2","15","HemOnc"
"Interleukin-2","15","HemOnc"
"Aldesleukin","15","HemOnc"
"ILT-101","15","HemOnc"
"ILT 101","15","HemOnc"
"ILT101","15","HemOnc"
"AF802","16","HemOnc"
"UNII-LIJ4CT1Z3Y","16","HemOnc"
"AF-802","16","HemOnc"
"RO5424802","16","HemOnc"
"CH5424802","16","HemOnc"
"RG7853","16","HemOnc"
"Alectinib","16","HemOnc"
"CH-5424802","16","HemOnc"
"RG-7853","16","HemOnc"
"RO-5424802","16","HemOnc"
"AF 802","16","HemOnc"
"CH 5424802","16","HemOnc"
"RG 7853","16","HemOnc"
"RO 5424802","16","HemOnc"
"LDP03","17","HemOnc"
"Alemtuzumab","17","HemOnc"
"LDP-03","17","HemOnc"
"LDP 03","17","HemOnc"
"alendronic acid","18","HemOnc"
"acide alendronique","18","HemOnc"
"acido alendronico","18","HemOnc"
"Alendronate","18","HemOnc"
"MLN8237","19","HemOnc"
"Alisertib","19","HemOnc"
"MLN-8237","19","HemOnc"
"MLN 8237","19","HemOnc"
"ATRA","20","HemOnc"
"all-trans retinoic acid","20","HemOnc"
"tretinoin","20","HemOnc"
"All-trans retinoic acid","20","HemOnc"
"Allopurinol","21","HemOnc"
"Alprazolam","22","HemOnc"
