inn,normalized_inn,mfds_item_seq,mfds_item_name,mfds_company,mfds_date,mfds_is_new_drug,mfds_is_prescription,ema_brand_name,ema_date,ema_is_orphan,ema_is_prime,ema_is_conditional,ema_is_accelerated,ema_therapeutic_area,ema_atc_code,days_ema_to_mfds,mfds_before_ema,atc_level1,atc_level2,ema_year,ema_month
Dexamethasone,dexamethasone,196300064,부광덱사메타손정,부광약품(주),1963-05-08,False,True,Ozurdex,2010-07-26,False,False,False,False,Macular Edema;Uveitis,S01BA01,-17246,True,S,S01,2010,7
Atropine Sulfate Hydrate,atropine,196400054,대원황산아트로핀주사액,대원제약(주),1964-03-03,False,True,Ryjunea,2025-06-02,False,False,False,False,Myopia,S01FA01,-22371,True,S,S01,2025,6
Anhydrous Caffeine,caffeine,196500051,지엘타이밍정(카페인무수물),지엘파마(주),1965-12-21,False,False,Peyona (previously Nymusa),2009-07-02,False,False,False,False,Apnea,N06BC01,-15899,True,N,N06,2009,7
Epinephrine,epinephrine,196900031,대한에피네프린주사액,대한약품공업(주),1969-10-23,False,True,Eurneffy,2024-08-22,False,False,False,False,Anaphylaxis,C01CA24,-20027,True,C,C01,2024,8
Atropine Sulfate Hydrate,atropine,196900033,대한아트로핀황산염주사액,대한약품공업(주),1969-05-28,False,True,Ryjunea,2025-06-02,False,False,False,False,Myopia,S01FA01,-20459,True,S,S01,2025,6
Glibenclamide,glibenclamide,197000068,다오닐정(글리벤클라미드),(주)한독,1970-06-01,False,True,Amglidia,2018-05-24,True,False,False,False,Diabetes Mellitus,A10BB01,-17524,True,A,A10,2018,5
Epinephrine,epinephrine,197200086,보스민액(에피네프린),제일약품(주),1972-06-17,False,True,Eurneffy,2024-08-22,False,False,False,False,Anaphylaxis,C01CA24,-19059,True,C,C01,2024,8
Propranolol Hydrochloride,propranolol,197400040,인데놀정10mg(프로프라놀롤염산염),동광제약(주),1974-11-05,False,True,Hemangiol,2014-04-23,False,False,False,False,Hemangioma,C07AA05,-14414,True,C,C07,2014,4
Atropine Sulfate Hydrate,atropine,197500147,제일아트로핀황산염주사액(수출용),(주)제일제약,1975-10-29,False,True,Ryjunea,2025-06-02,False,False,False,False,Myopia,S01FA01,-18114,True,S,S01,2025,6
Spironolactone,spironolactone,197500541,구주스피로닥톤정(스피로노락톤),구주제약(주),1975-10-07,False,True,Spironolactone Ceva,2007-06-20,False,False,False,False,,QC03DA01,-11579,True,Q,QC0,2007,6
Propranolol Hydrochloride,propranolol,197600046,인데놀정40mg(프로프라놀롤염산염),동광제약(주),1976-10-07,False,True,Hemangiol,2014-04-23,False,False,False,False,Hemangioma,C07AA05,-13712,True,C,C07,2014,4
