inn,normalized_inn,fda_date,fda_brand_name,fda_sponsor,mfds_date,mfds_item_name,mfds_company,days_fda_to_mfds,mfds_before_fda
Sodium Chloride,chloride,1981-02-23,SODIUM CHLORIDE,BAXTER HLTHCARE,1957-08-24,대한멸균생리식염수(생리식염주사액),대한약품공업(주),-8584,True
Ephedrine Hydrochloride,ephedrine,2017-01-27,EPHEDRINE SULFATE,PH HEALTH,1957-04-26,제일에페드린염산염주사액4%,(주)제일제약,-21826,True
Ephedrine Hydrochloride,ephedrine,2017-01-27,EPHEDRINE SULFATE,PH HEALTH,1958-12-07,대원염산에페드린주사액[수출명:에린주사(에페드린염산염)(ErineInj.)],대원제약(주),-21236,True
Magnesium Sulfate Hydrate,magnesium,2022-01-28,SUTAB,AZURITY,1958-12-08,마구내신주사액<황산마그네슘수화물>,대원제약(주),-23062,True
Sodium Chloride,chloride,1981-02-23,SODIUM CHLORIDE,BAXTER HLTHCARE,1961-08-02,중외생리식염주사액(수출명: 0.9% Sodium Chloride Inj.),제이더블유중외제약(주),-7145,True
Digoxin,digoxin,1954-11-16,LANOXIN,COVIS,1963-05-16,디고신정(디곡신),에이치케이이노엔(주),3103,False
Digoxin,digoxin,1954-11-16,LANOXIN,COVIS,1963-08-27,아주디곡신주사액,아주약품(주),3206,False
Dexamethasone,dexamethasone,2018-02-09,DEXYCU,EYEPOINT PHARMS,1963-05-08,부광덱사메타손정,부광약품(주),-20001,True
Furosemide,furosemide,1999-06-08,FUROSEMIDE,CHARTWELL RX,1964-06-30,라식스주사(푸로세미드),(주)한독,-12761,True
Furosemide,furosemide,1999-06-08,FUROSEMIDE,CHARTWELL RX,1964-06-30,라식스정(푸로세미드),(주)한독,-12761,True
Atropine Sulfate Hydrate,atropine,1999-01-07,MOTOFEN,LEGACY PHARMA,1964-03-03,대원황산아트로핀주사액,대원제약(주),-12728,True
Epinephrine,epinephrine,2022-08-15,EPINEPHRINE,INTL MEDICATION SYS,1969-10-23,대한에피네프린주사액,대한약품공업(주),-19289,True
Atropine Sulfate Hydrate,atropine,1999-01-07,MOTOFEN,LEGACY PHARMA,1969-05-28,대한아트로핀황산염주사액,대한약품공업(주),-10816,True
Sodium Chloride,chloride,1981-02-23,SODIUM CHLORIDE,BAXTER HLTHCARE,1970-10-30,중외염화나트륨주사액(117mg/1ml),제이더블유중외제약(주),-3769,True
Potassium Chloride,chloride,1981-02-23,SODIUM CHLORIDE,BAXTER HLTHCARE,1970-10-30,중외염화칼륨주사액(150㎎/㎖),제이더블유중외제약(주),-3769,True
Allopurinol,allopurinol,2020-08-28,ALOPRIM,MYLAN,1970-09-25,자이로릭정(알로푸리놀),삼일제약(주),-18235,True
Calcium Chloride Hydrate,calcium chloride,1979-08-06,RINGERS,B BRAUN,1970-01-10,휴온스3%염화칼슘주사액(수출용),(주)휴온스,-3495,True
Epinephrine,epinephrine,2022-08-15,EPINEPHRINE,INTL MEDICATION SYS,1972-06-17,보스민액(에피네프린),제일약품(주),-18321,True
Tranexamic Acid,tranexamic acid,2016-05-23,TRANEXAMIC ACID,AMRING PHARMS,1972-07-10,도란사민캡슐(트라넥삼산)(수출명:트라민캡슐),제일약품(주),-16023,True
Furosemide,furosemide,1999-06-08,FUROSEMIDE,CHARTWELL RX,1972-02-29,후릭스정(푸로세미드),일양약품(주),-9961,True
Metoclopramide,metoclopramide,1982-02-25,REGLAN,ANI PHARMS,1972-02-10,맥페란정(메토클로프라미드),동화약품(주),-3668,True
Calcium Chloride Hydrate,calcium chloride,1979-08-06,RINGERS,B BRAUN,1973-08-13,염카루 주 3% (염화칼슘수화물),(주)제일제약,-2184,True
Sodium Chloride,chloride,1981-02-23,SODIUM CHLORIDE,BAXTER HLTHCARE,1973-12-29,제일생리식염주사액,(주)제일제약,-2613,True
Propranolol Hydrochloride,propranolol,2007-01-03,INDERAL LA,ANI PHARMS,1974-11-05,인데놀정10mg(프로프라놀롤염산염),동광제약(주),-11747,True
Potassium Chloride,chloride,1981-02-23,SODIUM CHLORIDE,BAXTER HLTHCARE,1974-12-04,대한염화칼륨-40(포타시움크로라이드주),대한약품공업(주),-2273,True
Levothyroxine Sodium Hydrate,levothyroxine,2003-12-08,LEVOTHYROXINE SODIUM,CEDIPROF INC,1974-04-06,씬지로이드정0.1밀리그램(레보티록신나트륨수화물),부광약품(주),-10838,True
Triamcinolone Acetonide,triamcinolone acetonide,2007-11-29,TRIESENCE,HARROW EYE,1975-09-29,트리암시놀론주사40밀리그램(트리암시놀론아세토니드),동광제약(주),-11749,True
Atropine Sulfate Hydrate,atropine,1999-01-07,MOTOFEN,LEGACY PHARMA,1975-10-29,제일아트로핀황산염주사액(수출용),(주)제일제약,-8471,True
Silver Sulfadiazine,silver sulfadiazine,1978-01-31,SILVER SULFADIAZINE,KING PHARMS LLC,1975-05-20,실마진1%크림(설파디아진은)(수출명 : Emzin Cream Silver Sulfadiazine 1%),동화약품(주),-987,True
Propranolol Hydrochloride,propranolol,2007-01-03,INDERAL LA,ANI PHARMS,1976-10-07,인데놀정40mg(프로프라놀롤염산염),동광제약(주),-11045,True
Fluorouracil,fluorouracil,2013-12-12,FLUOROURACIL,EXTROVIS,1976-04-14,중외5-에프유주(플루오로우라실),제이더블유중외제약(주),-13756,True
